"Name","Team","1B","2B","3B","HR","BB","SB","CS","AVG","OBP","SLG","wRC+","Fld","WAR","playerid"
"Nomar Garciaparra","Red Sox","122","51","3","21","61","5","2",".372",".434",".599","154","9.0","7.6","190"
"Alex Rodriguez","Mariners","98","34","2","41","100","15","4",".316",".420",".606","158","16.0","9.5","1274"
"Derek Jeter","Yankees","151","31","4","15","68","22","4",".339",".416",".481","133","-23.0","3.7","826"
"Jose Valentin","White Sox","87","37","6","25","59","19","2",".273",".343",".491","107","9.0","4.5","256"
"Miguel Tejada","Athletics","104","32","1","30","66","6","0",".275",".349",".479","109","-3.0","3.5","941"
"Rafael Furcal","Braves","106","20","4","4","73","40","14",".295",".394",".382","107","6.0","3.3","88"
"Ricky Gutierrez","Cubs","92","19","2","11","66","8","2",".276",".375",".401","104","-12.0","1.3","387"
"Omar Vizquel","Indians","139","27","3","7","87","22","10",".287",".377",".375","96","-1.0","2.5","411"
"Mike Bordick","- - -","115","30","1","20","49","9","6",".285",".341",".443","101","-8.0","2.0","129"
"Rich Aurilia","Giants","92","24","2","20","54","1","2",".271",".339",".444","100","2.0","2.5","1106"
"Edgar Renteria","Cardinals","107","32","1","16","63","21","13",".278",".346",".423","95","0.0","2.0","1178"
"Deivi Cruz","Tigers","115","46","5","10","13","1","4",".302",".318",".449","92","4.0","2.4","1025"
"Damian Jackson","Padres","81","27","6","6","62","28","6",".255",".345",".377","93","8.0","2.6","471"
"Neifi Perez","Rockies","127","39","11","10","30","3","6",".287",".314",".427","59","13.0","0.3","620"
"Alex Gonzalez","Blue Jays","85","31","2","15","43","4","4",".252",".313",".404","79","-12.0","-0.3","281"
"Tony Womack","Diamondbacks","125","21","14","7","30","45","11",".271",".307",".384","70","-6.0","0.0","78"
"Royce Clayton","Rangers","84","21","5","14","42","11","7",".242",".301",".384","67","-9.0","-0.9","226"
"Cristian Guzman","Twins","103","25","20","8","46","28","10",".247",".299",".388","69","-4.0","-0.1","728"
"Pat Meares","Pirates","74","22","2","13","36","1","0",".240",".305",".381","69","-3.0","-0.2","1008712"
"Rey Sanchez","Royals","118","18","2","1","28","7","3",".273",".314",".322","57","22.0","1.7","213"
