"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2001","Randy Johnson","Diamondbacks","21","6","0","35","34","249.2","13.41","2.56","0.68",".315","80.5 %"," "," ","2.49","2.13"," ","10.4","60"
"2000","Randy Johnson","Diamondbacks","19","7","0","35","35","248.2","12.56","2.75","0.83",".326","77.4 %"," "," ","2.64","2.53"," ","9.7","60"
"2000","Pedro Martinez","Red Sox","18","6","0","29","29","217.0","11.78","1.33","0.71",".236","86.6 %"," "," ","1.74","2.17"," ","9.5","200"
"2004","Randy Johnson","Diamondbacks","16","14","0","35","35","245.2","10.62","1.61","0.66",".264","69.5 %","43.5 %","8.0 %","2.60","2.30","2.65","9.5","60"
"2002","Curt Schilling","Diamondbacks","23","7","0","36","35","259.1","10.97","1.15","1.01",".297","74.5 %","40.8 %","12.2 %","3.23","2.40","2.21","9.3","73"
"2009","Zack Greinke","Royals","16","8","0","33","33","229.1","9.50","2.00","0.43",".303","79.3 %","40.0 %","4.5 %","2.16","2.33","3.09","8.7","1943"
"2004","Ben Sheets","Brewers","12","14","0","34","34","237.0","10.03","1.22","0.95",".288","75.3 %","43.3 %","10.1 %","2.70","2.65","2.76","8.1","710"
"2002","Randy Johnson","Diamondbacks","24","5","0","35","35","260.0","11.56","2.46","0.90",".289","83.0 %","46.9 %","12.9 %","2.32","2.66","2.44","8.0","60"
"2003","Mark Prior","Cubs","18","6","0","30","30","211.1","10.43","2.13","0.64",".309","79.2 %","41.0 %","7.5 %","2.43","2.47","2.92","7.9","301"
"2009","Justin Verlander","Tigers","19","9","0","35","35","240.0","10.09","2.36","0.75",".319","72.7 %","36.0 %","7.4 %","3.45","2.80","3.20","7.6","8700"
"2009","Tim Lincecum","Giants","15","7","0","32","32","225.1","10.42","2.72","0.40",".282","75.9 %","47.5 %","5.5 %","2.48","2.34","2.83","7.5","5705"
"2003","Pedro Martinez","Red Sox","14","4","0","29","29","186.2","9.93","2.27","0.34",".292","78.2 %","41.2 %","4.0 %","2.22","2.21","3.08","7.4","200"
"2008","CC Sabathia","- - -","17","10","0","35","35","253.0","8.93","2.10","0.68",".297","77.7 %","46.6 %","8.8 %","2.70","2.91","3.06","7.4","404"
"2002","Pedro Martinez","Red Sox","20","4","0","30","30","199.1","10.79","1.81","0.59",".273","75.8 %","42.2 %","7.5 %","2.26","2.24","2.60","7.4","200"
"2001","Curt Schilling","Diamondbacks","22","6","0","35","35","256.2","10.27","1.37","1.30",".307","84.8 %"," "," ","2.98","3.11"," ","7.3","73"
"2005","Johan Santana","Twins","16","7","0","33","33","231.2","9.25","1.75","0.85",".262","76.3 %","39.4 %","8.4 %","2.87","2.80","3.12","7.2","755"
"2000","Greg Maddux","Braves","19","9","0","35","35","249.1","6.86","1.52","0.69",".274","74.3 %"," "," ","3.00","3.23"," ","7.2","104"
"2004","Johan Santana","Twins","20","6","0","34","34","228.0","10.46","2.13","0.95",".250","80.4 %","40.6 %","10.3 %","2.61","2.92","3.01","7.1","755"
"2008","Tim Lincecum","Giants","18","5","0","34","33","227.0","10.51","3.33","0.44",".304","77.9 %","43.9 %","5.6 %","2.62","2.62","3.13","7.0","5705"
"2003","Roy Halladay","Blue Jays","22","7","0","36","36","266.0","6.90","1.08","0.88",".284","71.0 %","58.4 %","14.3 %","3.25","3.23","2.96","7.0","1303"
"2009","Roy Halladay","Blue Jays","17","10","0","32","32","239.0","7.83","1.32","0.83",".306","79.0 %","50.2 %","10.6 %","2.79","3.06","3.00","7.0","1303"
"2006","Johan Santana","Twins","19","6","0","34","34","233.2","9.44","1.81","0.92",".269","77.7 %","40.6 %","9.9 %","2.77","3.04","3.16","7.0","755"
"2001","Mike Mussina","Yankees","17","11","0","34","34","228.2","8.42","1.65","0.79",".289","73.2 %"," "," ","3.15","2.92"," ","6.9","837"
"2008","Roy Halladay","Blue Jays","20","11","0","34","33","246.0","7.54","1.43","0.66",".284","74.5 %","53.7 %","9.4 %","2.78","3.03","3.11","6.8","1303"
"2008","Cliff Lee","Indians","22","3","0","31","31","223.1","6.85","1.37","0.48",".301","78.3 %","45.9 %","5.1 %","2.54","2.83","3.52","6.8","1636"
"2002","Roy Halladay","Blue Jays","19","7","0","34","34","239.1","6.32","2.33","0.38",".286","71.6 %","59.5 %","6.5 %","2.93","2.97","3.32","6.8","1303"
"2000","Kevin Brown","Dodgers","13","6","0","33","33","230.0","8.45","1.84","0.82",".255","77.6 %"," "," ","2.58","3.17"," ","6.8","642"
"2007","Jake Peavy","Padres","19","6","0","34","34","223.1","9.67","2.74","0.52",".273","78.3 %","44.0 %","5.8 %","2.54","2.84","3.34","6.7","1051"
"2003","Esteban Loaiza","White Sox","21","9","0","34","34","226.1","8.23","2.23","0.68",".283","78.5 %","46.4 %","8.7 %","2.90","3.05","3.34","6.7","1310"
"2004","Curt Schilling","Red Sox","21","6","0","32","32","226.2","8.06","1.39","0.91",".284","75.8 %","41.2 %","9.1 %","3.26","3.11","3.38","6.7","73"
"2003","Jason Schmidt","Giants","17","5","0","29","29","207.2","9.01","1.99","0.61",".253","80.2 %","37.0 %","6.2 %","2.34","2.64","3.35","6.6","1131"
"2000","Mike Mussina","Orioles","11","15","0","34","34","237.2","7.95","1.74","1.06",".297","73.2 %"," "," ","3.79","3.52"," ","6.6","837"
